기준 년코드,기준_분기_코드,상권_코드,상권_코드_명,행정동명,시군구명,총_생활인구_수,남성,여성,10대,20대,30대,40대,50대,60대_이상,00~06시,06~11시,11~14시,14~17시,17~21시,21~24시,월요일,화요일,수요일,목요일,금요일,토요일,일요일
2021,4,2110574,서강대학교,대흥동,마포구,37882,19443,18438,5034,11524,5892,5599,4322,5511,5371,8075,5993,6216,7720,4504,5487,5508,5536,5528,5393,5258,5171
2021,4,2110573,신촌역 6번,대흥동,마포구,118065,53761,64305,11631,44706,20386,13659,11415,16269,25205,25491,17747,16689,20167,12767,17238,17313,17239,17021,17076,16493,15684
2021,4,2110572,서강대역 1번,신수동,마포구,1294923,648190,646733,155707,388198,217181,186142,146251,201442,299654,267731,172551,171220,226559,157209,185255,184595,185014,184646,183930,187308,184175
2021,4,2110571,신수동주민센터,신수동,마포구,458056,214804,243252,73858,62006,76726,81910,69939,93618,121160,97463,54376,54392,73417,57247,65307,64849,65166,64665,64081,65751,68236
2021,4,2110570,KB국민은행 서강지점,신수동,마포구,118316,54767,63549,20955,14842,20123,21477,18832,22087,27415,25007,15708,15469,20385,14331,16979,17060,17233,16787,16942,16435,16878
2021,4,2110569,홍대땡땡거리,서교동,마포구,785153,364528,420625,73327,262032,147214,97308,90566,114706,184855,155738,101752,105184,141312,96312,109816,110799,111945,111823,112975,115918,111879
2021,4,2110568,광흥창역 1번,서강동,마포구,204352,92366,111986,37001,28237,33209,35636,26654,43615,50475,43879,26181,27621,33353,22844,29733,29158,29754,29681,29340,28471,28213
2021,4,2110567,광흥창역 6번,서강동,마포구,280722,126892,153830,59582,35610,46778,50226,37252,51275,56014,57367,39637,39892,55715,32096,39393,39531,39150,39336,39492,41325,42494
2021,4,2110566,경의선책거리,서교동,마포구,1359207,610718,748488,154751,482483,281170,176646,111316,152841,255216,242094,195881,220404,290366,155246,185677,187228,190557,192568,197568,211232,194377
2021,4,2110565,홍익대,서강동,마포구,375459,174119,201340,53340,148218,65253,44051,29871,34726,107428,77615,43542,44075,57578,45220,52539,53369,53047,53328,52598,55242,55335
2021,4,2110564,홍대입구역 3번,서교동,마포구,648427,285087,363339,57697,245184,146019,84900,52071,62556,97237,102838,94029,113951,163668,76704,85198,84357,88794,89685,95699,108687,96005
2021,4,2110563,상수역 3번,서강동,마포구,146256,68286,77971,13504,38296,32332,23715,15249,23161,34329,29306,17894,18637,27207,18884,20465,20597,20661,20662,20963,21700,21210
2021,4,2110562,연트럴파크(연남동주민센터),연남동,마포구,880740,396477,484264,86758,228474,190938,144091,93163,137318,227767,162788,99750,112417,160478,117540,122152,121097,122676,123959,125491,134963,130400
2021,4,2110561,상수역 4번,서강동,마포구,453281,215776,237506,35379,123706,113619,67738,43359,69481,119404,91713,53057,53229,76168,59711,63754,64492,64441,64470,65295,65975,64854
2021,4,2110560,마포FM,연남동,마포구,795294,367242,428053,98806,170291,163699,142247,89326,130925,229618,169340,92036,87447,115461,101394,115257,115396,115262,114966,113813,110199,110400
2021,4,2110559,성산중학교,합정동,마포구,880626,405525,475102,70676,235868,236997,139535,87249,110301,206798,171381,119118,120439,157706,105183,122911,126254,127219,127650,128547,126268,121777
2021,4,2110558,경성고등학교,성산1동,마포구,1748491,822628,925863,218571,297071,364681,321577,218528,328064,524604,377025,189553,180849,247828,228634,251573,249836,250006,248421,246035,248029,254594
2021,4,2110557,홍대부속여중고앞,서교동,마포구,978201,450085,528115,117417,188584,199888,196323,118044,157943,265532,206033,118528,116896,150338,120871,140245,141832,140955,140729,139687,136123,138631
2021,4,2110556,절두산순교성지,합정동,마포구,215273,99761,115512,17665,43764,50268,33570,29002,41004,39233,51911,32046,30866,38827,22391,30245,31670,32297,32457,31705,29180,27718
2021,4,2110555,홍익지구대,서교동,마포구,193612,86115,107497,15723,46513,48574,32671,22918,27214,38245,34647,28588,30491,38992,22649,27912,28422,28484,28810,29118,26680,24187
2021,4,2110554,망원역 1번,서교동,마포구,998312,454329,543981,86355,209026,234846,191090,125670,151324,210075,195544,138362,142342,184086,127901,144672,147458,148544,149032,146056,132821,129729
2021,4,2110553,가좌역 2번,성산2동,마포구,755739,335555,420185,139455,122850,117996,126372,102278,146791,217368,165112,89375,85019,109451,89416,107415,106789,106654,105822,104674,110164,114220
2021,4,2110552,성미산체육관,성산1동,마포구,538838,248754,290083,81876,83566,106597,103168,70728,92902,133668,124217,73581,69024,82167,56182,77967,78823,78384,78294,77644,74498,73227
2021,4,2110551,성서초등학교,성산1동,마포구,977303,434362,542941,163604,135405,160387,209997,128026,179883,275415,206541,113186,108867,149486,123809,140261,140647,138800,138579,135851,140251,142914
2021,4,2110550,합정역 8번,합정동,마포구,1392982,601317,791666,129074,293792,336997,236949,166758,229412,343132,272304,170137,178008,254762,174641,194735,194075,196135,195694,196705,207680,207960
2021,4,2110549,새터산,성산2동,마포구,995216,433637,561578,185389,156045,159124,172714,132684,189259,285422,208052,106883,104326,156109,134422,142552,140925,140167,139919,138713,144165,148774
2021,4,2110548,마포구청역 4번,성산1동,마포구,774799,360641,414158,87330,137227,164232,144139,105326,136545,184666,162223,95240,95186,136265,101219,109328,110063,109959,109673,109522,112826,113427
2021,4,2110547,KB국민은행 망원동지점,망원2동,마포구,776453,342892,433560,95627,129333,139273,138697,111981,161543,185621,147411,93005,98676,146210,105531,109033,109608,110601,110189,111923,113115,111982
2021,4,2110546,양화대교북단,합정동,마포구,564531,248425,316106,64382,108878,131340,96032,61670,102228,186639,124308,54419,50654,73233,75279,80123,79932,79701,79465,79130,82010,84168
2021,4,2110545,마포구청역 1번,성산2동,마포구,606428,250329,356098,46224,138982,130290,98969,72304,119658,181821,136045,63382,59034,84835,81311,86723,86108,86215,86166,85781,86944,88492
